codex,bfv,matt,steve,win,matt_per,steve_per
003,14,14,12,matt,1,.85714287
005,14,10,12,steve,.71428573,.85714287
009,14,9,14,steve,.64285713,1
012,14,13,9,matt,.9285714,.64285713
013,14,4,14,steve,.2857143,1
014,12,8,10,steve,.66666669,.83333331
015,16,13,16,steve,.8125,1
104,8,8,3,matt,1,.375
105,12,5,12,steve,.41666666,1
106,12,7,12,steve,.58333331,1
113,14,7,14,steve,.5,1
114,14,14,7,matt,1,.5
116,14,14,4,matt,1,.2857143
117,12,10,11,steve,.83333331,.91666669
119,16,11,14,steve,.6875,.875
122,14,9,14,steve,.64285713,1
124,16,7,16,steve,.4375,1
207,16,16,7,matt,1,.4375
404,14,11,9,matt,.78571427,.64285713
418,14,7,14,steve,.5,1
423,18,13,11,matt,.72222221,.6111111
C3i03,12,7,9,steve,.58333331,.75
C3i04,12,3,12,steve,.25,1
TW1,12,12,4,matt,1,.33333334
TW2,10,5,10,steve,.5,1
TW3,10,10,5,matt,1,.5
TW4,10,5,10,steve,.5,1
TW5,12,7,12,steve,.58333331,1
