SCENARIO,Date Code,Codex,BFV,Army,Matt,Steve,HISTORICAL WINNER
Battle of Akragas - 406 BC,-406.0,001,5,Syracusan,,,Carthage
,,,,Carthage,,,
Crimissos River - 341 BC,-341.0,002,5,Syracusan,,,Syracusan
,,,,Carthage,,,
Bagradas - 253 BC,-253.0,003,7,Roman,7,6,Carthage
,,,,Carthage,7,6,
Ticinus River - 218 BC,-218.6,004,6,Roman,,,Carthage
,,,,Carthage,,,
Terbbia - 218 BC,-218.4,005,7,Roman,7,7,Carthage
,,,,Carthage,3,5,
Lake Trasimenus - 217 BC,-217.0,006,6,Roman,,,Carthage
,,,,Carthage,,,
Cannae - 216 BC,-216.0,007,7,Roman,,,Carthage
,,,,Carthage,,,
Dertosa - 215 BC,-215.0,008,6,Roman,,,Roman
,,,,Carthage,,,
2nd Battle Beneventum - 214 BC,-214.0,009,7,Roman,4,7,Roman
,,,,Carthage,5,7,
Castulo - 211 BC,-211.0,010,8,Roman,,,Carthage
,,,,Carthage,,,
Baecula - 208 BC,-208.0,011,6,Roman,,,Roman
,,,,Carthage,,,
Metaurus - 207 BC,-207.0,012,7,Roman,7,7,Roman
,,,,Carthage,6,2,
Ilipa - 206 BC,-206.0,013,7,Roman,3,7,Roman
,,,,Carthage,1,7,
Great Planes - 203 BC,-203.0,014,6,Roman,6,6,Roman
,,,,Carthage,2,4,
Zama - 202 BC,-202.0,015,8,Roman,6,8,Roman
,,,,Carthage,7,8,
Marathon - 490 BC,-490.0,101,6,Persian,,,Greek
,,,,Greek,,,
Himera - 480 BC,-480.0,102,6,Syracusan,,,Syracusan
,,,,Carthage,,,
Plataea - 479 BC,-479.0,103,5,Persian,,,Greek
,,,,Greek,,,
Leuctra - 371 BC,-371.0,104,4,Spartan,4,0,Thebans
,,,,Theban,4,3,
Mantinea - 362 BC,-362.0,105,6,Spartan,3,6,Thebans
,,,,Theban,2,6,
Crocus Plain - 352 BC,-352.0,106,6,Phocian,4,6,Macedonian
,,,,Macedonian,3,6,
Granicus - 334 BC,-334.0,107,6,Persian,,,Macedonian
,,,,Macedonian,,,
Issus - 333 BC,-333.6,108,8,Persian,,,Macedonian
,,,,Macedonian,,,
Gaugamela - 331 BC,-331.0,109,7,Persian,,,Macedonian
,,,,Macedonian,,,
Jaxartes River - 328 BC,-328.0,110,5,Scythian,,,Macedonian
,,,,Macedonian,,,
Hydaspes - 326 BC,-326.0,111,7,Indian,,,Macedonian
,,,,Macedonian,,,
